OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,State and Territory 2021 code,State and Territory 2021 name,Lone person households (no.) (Data year: 2021),Group households (no.) (Data year: 2021),Family households (no.) (Data year: 2021),Total households (excluding visitor only and other non-classifiable households) (no.) (Data year: 2021),Average household size (no. of persons) (Data year: 2021),Couple families with children under 15 and/or dependent students (no.) (Data year: 2021),Couple families with non-dependent children only (no.) (Data year: 2021),Couple families without children (no.) (Data year: 2021),One parent families with children under 15 and/or dependent students (no.) (Data year: 2021),One parent families with non-dependent children only (no.) (Data year: 2021),Other families (no.) (Data year: 2021),Total families (no.) (Data year: 2021),Average family size (no. of persons) (Data year: 2021),Social marital status:Married in a registered marriage (no.) (Data year: 2021),Social marital status:Married in a de facto marriage (no.) (Data year: 2021),Social marital status:Not married (no.) (Data year: 2021),Registered marital status:Married (%) (Data year: 2021),Registered marital status:Never married (%) (Data year: 2021),Registered marital status:Widowed (%) (Data year: 2021),Registered marital status:Divorced (%) (Data year: 2021),Registered marital status:Separated (%) (Data year: 2021),Average number of children per family (for families with children) (no.) (Data year: 2021),Persons who did not provide child care (%) (Data year: 2021),Persons who cared for own child/children (%) (Data year: 2021),Persons who cared for other child/children (%) (Data year: 2021),Persons who cared for own or other child/children (%) (Data year: 2021),Unpaid child care not stated (%) (Data year: 2021),Persons who provided unpaid assistance to a person with a disability (%) (Data year: 2021),Persons undertaking voluntary work for an organisation or group (%) (Data year: 2021),Dwelling structure:Separate house (no.) (Data year: 2021),"Dwelling structure:Semi-detached, row or terrace house, townhouse etc. (no.) (Data year: 2021)",Dwelling structure:Flat or apartment (no.) (Data year: 2021),Dwelling structure:Other type of dwelling (no.) (Data year: 2021),Dwelling structure not stated (no.) (Data year: 2021),Total occupied private dwellings  (excluding visitor only and other non-classifiable households) (no.) (Data year: 2021),Occupied private dwellings:Owned outright (no.) (Data year: 2021),Occupied private dwellings:Owned with a mortgage (no.) (Data year: 2021),Occupied private dwellings:Rented (no.) (Data year: 2021),Occupied private dwellings:Other tenure type (no.) (Data year: 2021),Occupied private dwellings:Tenure type not stated (no.) (Data year: 2021),Occupied private dwellings:Owned outright (%) (Data year: 2021),Occupied private dwellings:Owned with a mortgage (%) (Data year: 2021),Occupied private dwellings:Rented (%) (Data year: 2021),Occupied private dwellings:Other tenure type (%) (Data year: 2021),Occupied private dwellings:Tenure type not stated (%) (Data year: 2021),Housing suitability:Dwellings with extra bedrooms needed (no.) (Data year: 2021),Housing suitability:Dwellings with bedrooms spare (no.) (Data year: 2021),Housing suitability:Dwellings with no bedrooms needed or spare (no.) (Data year: 2021),Count of homeless persons (no.) (Data year: 2021),"Homeless persons per 10,000 persons (rate) (Data year: 2021)",Median weekly household rental payment ($) (Data year: 2021),Median monthly household mortgage payment ($) (Data year: 2021),Households where mortgage repayments are less than or equal to 30% of imputed household income (no.) (Data year: 2021),Households where mortgage repayments are more than 30% of imputed household income (no.) (Data year: 2021),Households where rent payments are less than or equal to 30% of imputed household income (no.) (Data year: 2021),Households where rent payments are more than 30% of imputed household income (no.) (Data year: 2021),Households where mortgage repayments are less than or equal to 30% of imputed household income (%) (Data year: 2021),Households where mortgage repayments are more than 30% of imputed household income (%) (Data year: 2021),Households where rent payments are less than or equal to 30% of imputed household income (%) (Data year: 2021),Households where rent payments are more than 30% of imputed household income (%) (Data year: 2021),SEIFA Index of relative socio-economic disadvantage (IRSD):Rank within Australia (decile) (Data year: 2021),SEIFA Index of relative socio-economic advantage and disadvantage (IRSAD):Rank within Australia (decile) (Data year: 2021),SEIFA Index of education and occupation (IEO):Rank within Australia (decile) (Data year: 2021),SEIFA Index of economic resources (IER):Rank within Australia (decile) (Data year: 2021),SEIFA Index of relative socio-economic disadvantage (IRSD):Rank within State or Territory (decile) (Data year: 2021),SEIFA Index of relative socio-economic advantage and disadvantage (IRSAD):Rank within State or Territory (decile) (Data year: 2021),SEIFA Index of education and occupation (IEO):Rank within State or Territory (decile) (Data year: 2021),SEIFA Index of economic resources (IER):Rank within State or Territory (decile) (Data year: 2021),Households assigned to IHAD quartile 1 (most disadvantaged) (%) (Data year: 2021),Households assigned to IHAD quartile 2 (%) (Data year: 2021),Households assigned to IHAD quartile 3 (%) (Data year: 2021),Households assigned to IHAD quartile 4 (most advantaged) (%) (Data year: 2021),Census - Count of occupided private dwellings in scope for IHAD (Data year: 2021),Census - SEIFA Australia quartile ranking - index of relative socio-economic advantage and disadvantage (IRSAD) (Data year: 2021),Census - Percent of total dwellings out of scope for IHAD (%) (Data year: 2021),Persons who made a gift or donation deduction (no.) (Data year: 2022),Median value of gift and donation deductions ($) (Data year: 2022),Used one method of travel to work:Train (no.) (Data year: 2021),Used one method of travel to work:Tram (no.) (Data year: 2021),Used one method of travel to work:Bus (no.) (Data year: 2021),Used one method of travel to work:Ferry (no.) (Data year: 2021),Used one method of travel to work:Car (as driver) (no.) (Data year: 2021),Used one method of travel to work:Car (as passenger) (no.) (Data year: 2021),Used one method of travel to work:Taxi or ride-share service (no.) (Data year: 2021),Used one method of travel to work:Truck (no.) (Data year: 2021),Used one method of travel to work:Motor bike/scooter (no.) (Data year: 2021),Used one method of travel to work:Bicycle (no.) (Data year: 2021),Used one method of travel to work:Other (no.) (Data year: 2021),Used one method of travel to work:Walked only (no.) (Data year: 2021),Used one method of travel to work:Total persons (no.) (Data year: 2021),Used more than one method of travel to work:Total persons (no.) (Data year: 2021),"People who travelled to work using at least one form of public transport (train, tram, bus, ferry) (no.) (Data year: 2021)",People who travelled to work by car (as a driver or passenger) as at least one of their methods of travel (no.) (Data year: 2021),People who worked from home (no.) (Data year: 2021),People who were employed but did not go to work (no.) (Data year: 2021),Method of travel to work not stated (no.) (Data year: 2021),Total persons employed aged 15 years and over (no.) (Data year: 2021),Households with no motor vehicles (no.) (Data year: 2021),Households with one motor vehicle (no.) (Data year: 2021),Households with two motor vehicles (no.) (Data year: 2021),Households with three motor vehicles (no.) (Data year: 2021),Households with four or more motor vehicles (no.) (Data year: 2021),globalid,Shape__Area,Shape__Length
1,10050,Albury,305.6386,1,New South Wales,7002,820,14360,22182,2.3,4723,939,6024,1876,833,223,14613,2.9,17989,4979,17877,43.8,36.5,6,10,3.8,1.8,66.2,19.4,7.3,6.2,0.9,13.4,15.8,17855,3878,325,74,49,22182,6791,7071,7489,468,359,30.6,31.9,33.8,2.1,1.6,474,17706,3041,168,30,270,1473,5611,731,4513,2339,79.4,10.3,60.3,31.2,5,5,6,4,4,5,6,3,33.3,26.5,21.7,18.4,22080,2,13.2,9979,100,13,3,92,9,18494,1196,65,142,86,211,71,714,21098,162,151,19841,2392,2565,131,26344,1626,8453,8061,2444,1241,8ff80bde-ad65-4345-b290-b1c2e68867ac,0.0305604098057302,1.32176762431458
2,10180,Armidale Regional,7809.4406,1,New South Wales,3399,443,6793,10636,2.3,2171,369,3066,815,371,100,6896,2.9,8736,2320,8644,42.2,40.8,5.7,8.2,3.2,1.9,66.7,16.5,5.6,10.5,0.7,12.5,20,8967,1108,468,55,33,10636,3680,2824,3696,262,174,34.6,26.6,34.7,2.5,1.6,283,8428,1463,150,52,285,1436,2213,303,2047,1306,78.4,10.7,55.4,35.3,6,7,9,3,6,7,8,2,30.1,25.4,24,20.5,10590,3,18.3,3806,200,3,,45,,6412,572,25,94,70,70,73,470,7841,102,84,7081,2888,1846,87,12765,774,4140,3676,1239,629,96560d24-beb3-455c-9c4e-3846088d1a9e,0.732824737156079,6.03458271577016
3,10250,Ballina,484.9692,1,New South Wales,5155,668,12451,18281,2.4,3619,947,5890,1315,826,160,12754,2.8,16262,4360,14455,46.1,32,7.3,11.3,3.3,1.8,68.8,17.6,6.7,6.2,0.7,13.6,17.3,13126,3776,921,397,64,18281,7553,4944,4871,575,332,41.3,27,26.6,3.1,1.8,394,14483,2582,129,28,420,1950,3561,790,2343,2036,72,16,48.1,41.8,8,8,8,8,8,8,8,8,28,29.3,22.3,20.4,18185,4,12.9,6483,185,8,,64,,12260,737,8,184,71,225,88,576,14215,154,115,13141,3467,2826,114,20775,878,6659,7041,2203,1191,10621ce4-41ea-4b06-ae31-019fe1964973,0.0448434369468487,1.51112127170985
4,10300,Balranald,21690.7493,1,New South Wales,208,21,503,733,2.5,164,39,237,47,27,5,518,3,694,175,538,49.2,32.3,7,7.8,3.9,2.1,62.2,16.1,5.5,15.7,0.6,11.5,21.4,660,25,12,10,26,733,309,186,176,50,15,42.2,25.4,24,6.8,2,23,548,113,11,48,200,1083,128,19,112,40,68.8,10.2,63.6,22.7,4,4,3,4,4,3,3,3,39,24.6,24.8,11.8,731,2,33.1,177,183,,,4,,598,54,,10,,4,13,94,780,6,4,659,117,63,,973,42,229,265,109,72,75a80ada-b0ae-4e97-a488-78f9169b09bc,2.11552808722536,11.4899119511329
5,10470,Bathurst Regional,3817.8645,1,New South Wales,4406,538,10999,15942,2.5,3709,754,4538,1402,677,168,11242,2.9,13741,3915,13011,43.6,37.9,5.3,9.3,3.9,1.9,64.8,19,7.2,8.1,0.9,12.5,14.9,13526,1633,699,41,39,15942,5419,5232,4827,246,208,34,32.8,30.3,1.5,1.3,321,12882,1991,158,36,320,1733,4051,562,2933,1448,77.4,10.7,60.8,30,7,7,7,7,7,7,6,7,27.7,25.9,25.1,21.3,15872,3,14,6956,120,9,,53,4,13402,1100,60,189,60,50,67,647,15633,132,91,14629,2396,2195,92,20457,925,5381,5866,2186,1361,b7a34fc0-79a9-4d1d-aab1-e3fda4496d8b,0.370148777416034,5.39511407526543
6,10500,Bayside (NSW),50.6204,1,New South Wales,16347,4206,44280,64833,2.5,16004,3942,17955,3652,3180,1227,45959,2.9,59436,15661,62478,44.5,40.2,4.5,7.8,3,1.7,71.9,18.3,2.8,6.8,0.2,9.9,8.3,22373,7970,33875,462,157,64833,16862,18766,27318,901,987,26,28.9,42.1,1.4,1.5,5634,36288,20699,863,49,500,2468,12512,4344,15471,9805,66.7,23.1,56.6,35.9,7,9,9,4,8,9,9,3,23.8,26.3,26.4,23.5,64423,4,13.9,27984,190,4807,20,1522,5,28586,2579,186,448,605,378,513,2246,41892,3038,9065,32205,28934,10830,435,85131,9392,29979,17491,4562,2291,4a161e4e-bb1a-487f-88ff-4aa8e7e5ce58,0.00493713955120256,0.576414859777446
7,10550,Bega Valley,6278.5013,1,New South Wales,4511,384,9738,14630,2.2,2454,633,5351,851,567,90,9945,2.7,12696,3872,10282,47.2,30.4,7.1,11.9,3.5,1.8,70,15.1,6.5,7.6,0.8,13.5,21.9,12340,1267,700,241,73,14630,7164,3846,3017,353,251,49,26.3,20.6,2.4,1.7,352,11594,2065,151,42,310,1516,2788,578,1563,1160,72.5,15,51.8,38.4,6,5,6,6,6,5,6,6,32.2,32.5,22.9,12.5,14575,2,22.7,3983,150,,,41,6,9431,606,12,202,60,61,87,696,11199,98,61,10128,1885,1636,158,14975,588,5258,5698,1900,935,b6e6e3ba-c90d-4fd2-b988-bcf0d6f5ecc6,0.634170324692604,6.14082057609557
8,10600,Bellingen,1600.4338,1,New South Wales,1502,199,3482,5185,2.3,934,233,1718,442,230,41,3594,2.8,4240,1430,4062,43.1,32.9,6.5,13.3,4.2,1.8,67.4,16.9,6.5,7.9,1.2,14.3,22.2,4721,198,157,87,22,5185,2489,1388,1136,93,80,48,26.8,21.9,1.8,1.5,134,3944,849,48,36,340,1517,973,229,464,537,70.1,16.5,40.8,47.3,6,6,8,6,6,6,8,5,30.4,29.9,22.8,16.7,5166,3,19.2,1654,187,,,12,,3111,197,,64,34,37,21,242,3727,39,22,3348,976,580,43,5365,180,1901,1991,666,365,f0d8889d-cfaf-4cbb-a97a-5bde9dd79949,0.150235002870886,2.31147779771911
9,10650,Berrigan,2065.8878,1,New South Wales,1065,70,2235,3373,2.2,575,150,1232,187,102,29,2278,2.7,3129,709,2288,51.2,25.7,8.6,10.4,4.1,1.9,67.8,14.8,6.2,10.5,0.7,12.9,22.4,3041,239,34,24,30,3373,1569,945,658,95,107,46.5,28,19.5,2.8,3.2,53,2806,348,7,8,210,1207,720,118,410,183,76.2,12.5,62.3,27.8,5,4,3,5,4,3,2,4,39.5,28.2,20.1,12.1,3351,2,21.3,1325,100,,,6,,2255,147,,50,10,16,17,169,2662,41,8,2435,389,324,34,3454,122,1181,1263,457,252,75020dbb-ccd0-4d69-ac2e-8f2d8b47f212,0.205817890297567,2.91769996684886
10,10750,Blacktown,238.8471,1,New South Wales,19260,3208,98872,121337,3.1,48604,9971,26633,10376,6866,1719,104171,3.3,149309,19531,116853,52.6,33.8,4.1,6.3,3.2,1.9,64.1,25.3,3.6,6.6,0.3,9.9,8.8,98390,14480,8158,98,213,121337,24568,52012,41592,1301,1862,20.2,42.9,34.3,1.1,1.5,6804,87548,22311,1604,40,400,2383,37359,9378,25118,12953,71.8,18,60.4,31.1,6,8,8,9,6,8,8,9,22.5,20.7,22,34.8,120533,4,10,67904,169,4291,19,1505,11,69985,6123,293,1037,413,201,852,1231,85954,4895,10020,78730,57975,25253,849,174929,8045,43133,46060,14648,7523,e1bba5dc-90f2-4df6-be5b-47da0f04e111,0.0232385342424095,0.741290550227582
