epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
1,366.2539,26020.6523,26020.6523,4.0589,15494.7627,15494.7627,0.0010
2,1303.8851,9316.5615,9316.1270,39.4447,14006.3340,14006.3203,0.0010
3,1972.9808,5583.1187,5581.8032,91.7712,12871.3184,12871.2568,0.0010
4,1950.7189,4464.5059,4462.5552,164.1268,12206.4570,12206.2930,0.0010
5,1889.9489,3766.1794,3763.6592,222.3134,11561.4883,11561.1924,0.0010
6,1589.6752,3227.9194,3225.2703,274.8820,11132.2812,11131.8232,0.0010
7,1566.3342,2922.3813,2919.2485,365.2912,10330.4326,10329.7021,0.0010
8,1714.3055,2947.6284,2943.6279,434.7804,9574.8564,9573.8418,0.0010
9,1801.1866,2704.0334,2699.2302,551.3787,8517.0078,8515.5371,0.0010
10,1811.7175,2633.9631,2628.5278,633.5827,8022.5508,8020.6494,0.0010
11,1810.9569,2727.5005,2721.4641,706.0881,7187.9248,7185.5713,0.0010
12,1716.5072,2684.0374,2677.7434,735.4362,7068.0425,7065.3457,0.0010
13,1736.9867,2619.5581,2612.6101,769.9059,6242.9844,6239.9043,0.0010
14,1637.5145,2603.4263,2596.3306,848.3049,6008.7607,6005.0850,0.0010
15,1593.8798,2536.9895,2529.5518,891.7041,5195.8569,5191.6953,0.0010
16,1465.7557,2253.9778,2246.6492,777.7390,5763.7437,5759.8550,0.0010
17,1317.5952,2388.2974,2381.2705,827.1268,4886.4238,4882.0127,0.0010
18,1251.2496,2274.3352,2267.2449,841.6389,4310.6250,4305.8555,0.0010
19,1306.7844,2156.2170,2148.3760,791.1224,4152.3452,4147.5986,0.0010
20,1418.2747,2057.0520,2048.0696,815.0660,3569.2563,3564.0942,0.0010
21,1316.9977,2158.5913,2149.8115,669.8066,4489.6040,4485.1387,0.0010
22,1219.4567,2045.0374,2036.5012,750.1055,3555.6870,3550.4363,0.0010
23,1168.4127,1992.0524,1983.4840,740.0497,3033.6892,3028.2622,0.0010
24,1166.6217,2062.7278,2053.7837,703.3806,3386.2905,3380.8979,0.0010
25,1070.2987,1870.3359,1861.7734,726.1018,2653.6792,2647.8701,0.0010
26,1127.5836,1788.0394,1778.6429,755.5480,2524.6924,2518.3960,0.0010
27,1159.8453,1736.2782,1726.2263,778.0061,2303.5903,2296.8477,0.0010
28,1101.3344,1973.8915,1963.9796,673.5784,3430.9734,3424.9111,0.0010
29,1016.0626,1770.5923,1761.1091,756.0039,2036.8831,2029.8269,0.0010
30,1047.4673,1669.9093,1659.7837,778.3553,2128.3323,2120.8081,0.0010
31,1205.4403,1931.2957,1919.2411,881.4875,1794.3058,1785.4910,0.0010
32,1209.7264,1659.8267,1647.3263,751.1334,1982.7783,1975.0166,0.0010
33,1207.9491,1698.2473,1685.3625,923.8514,1699.5913,1689.7369,0.0010
