epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
1,461.6215,19923.3945,19923.3945,2.0874,8545.0859,8545.0859,0.0010
2,1280.8116,4816.8345,4816.4062,18.8576,7152.9297,7152.9233,0.0010
3,1569.2018,2542.4263,2541.3804,64.5687,6405.7603,6405.7173,0.0010
4,1645.3281,1866.5078,1864.8623,124.9927,5759.4106,5759.2856,0.0010
5,1687.4713,1578.7585,1576.5084,194.2320,5286.0229,5285.7642,0.0010
6,1708.6547,1445.0295,1442.1819,259.1399,4803.6313,4803.1992,0.0010
7,1752.6061,1359.8408,1356.3357,320.2114,4304.1196,4303.4795,0.0010
8,1649.0365,1323.2616,1319.4137,347.8428,4077.1355,4076.3235,0.0010
9,1496.7332,1223.8313,1219.8401,374.8981,3712.3955,3711.3958,0.0010
10,1191.9187,1141.0988,1137.5231,323.0977,3767.1072,3766.1377,0.0010
11,1132.7491,1069.5464,1065.7708,343.7044,3419.1091,3417.9631,0.0010
12,1241.0134,1047.9047,1043.3542,416.8954,3058.7275,3057.1990,0.0010
13,1332.5984,1008.2994,1002.9689,408.6744,2847.3164,2845.6816,0.0010
14,1395.5155,975.3898,969.3426,444.1559,2562.7307,2560.8059,0.0010
15,1370.8269,944.0416,937.6442,467.1692,2324.5745,2322.3943,0.0010
16,1429.9287,919.7313,912.5815,478.4022,2242.2258,2239.8337,0.0010
17,1368.6184,909.1082,901.8089,503.0767,2086.2441,2083.5610,0.0010
18,1340.8757,893.3912,885.7928,477.3454,2006.6533,2003.9482,0.0010
19,1209.4608,860.4921,853.2354,404.5544,2076.3105,2073.8831,0.0010
20,1109.8523,822.5295,815.5004,406.1607,1973.8882,1971.3158,0.0010
21,1049.0161,811.9446,804.9512,449.8906,1856.2891,1853.2897,0.0010
22,993.2743,816.3622,809.4094,421.7868,1670.1735,1667.2208,0.0010
23,960.5504,828.6832,821.6393,428.3976,1718.5580,1715.4164,0.0010
24,1021.3379,761.6006,753.7704,472.6706,1430.6924,1427.0687,0.0010
25,1074.3048,786.9260,778.3315,518.4940,1514.6992,1510.5513,0.0010
26,1110.8289,769.1764,759.9195,495.9055,1285.4386,1281.3060,0.0010
27,1020.1576,781.5977,772.7563,516.3807,1355.0404,1350.5651,0.0010
28,1056.4108,730.8451,721.3373,607.9564,1081.2721,1075.8004,0.0010
29,1019.8248,755.8844,746.3661,667.2293,1117.2257,1110.9982,0.0010
30,1055.1713,730.2526,720.0526,637.7830,1059.0142,1052.8490,0.0010
31,1016.6294,763.6631,753.4968,580.8712,1072.2334,1066.4247,0.0010
32,963.1659,712.0574,702.1047,635.5576,1015.3343,1008.7669,0.0010
33,930.6761,685.0298,675.1027,619.2938,1042.4088,1035.8031,0.0010
34,916.1859,717.8016,707.7236,532.4118,1185.8030,1179.9465,0.0010
35,928.8291,679.0504,668.5236,566.8729,1015.6752,1009.2507,0.0010
36,888.9891,712.7346,702.3631,522.5803,1090.2555,1084.1586,0.0010
37,843.3166,673.0476,662.9278,555.3975,984.0316,977.3668,0.0010
38,822.2418,696.0376,685.8967,630.4343,948.3552,940.5798,0.0010
39,811.6920,681.8701,671.5887,616.6709,971.5889,963.7778,0.0010
40,802.4409,620.1591,609.7272,555.7000,956.4871,949.2630,0.0010
41,777.7104,669.3513,658.9819,573.0161,994.8934,987.2532,0.0010
42,765.8751,670.2869,659.8199,538.9514,1080.1818,1072.8160,0.0010
43,740.3151,737.5199,727.1555,448.4353,1070.1545,1063.8763,0.0010
44,723.1416,659.3195,648.9545,436.1351,1149.9144,1143.6632,0.0010
45,708.2793,682.0924,671.7044,479.3274,1036.5245,1029.4943,0.0010
46,755.7257,661.8324,650.4965,560.8584,995.1897,986.7768,0.0010
47,734.6879,627.8629,616.5978,502.2025,978.2919,970.5916,0.0010
48,726.3160,609.3716,597.9928,565.7988,979.7685,970.9043,0.0010
49,739.2452,609.5090,597.6810,528.2097,999.0134,990.5621,0.0010
50,964.5075,713.2139,697.4603,909.0909,1100.4476,1085.5992,0.0010
51,965.1021,712.8641,696.7791,928.6155,1357.9125,1342.4355,0.0010
52,1004.4300,681.4662,664.3910,738.1328,1041.0006,1028.4523,0.0010
53,957.9502,653.7751,637.1706,754.4182,1055.6101,1042.5336,0.0010
54,942.1305,636.4008,619.7565,643.6696,966.5498,955.1783,0.0010
