epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
1,4559887.0000,22085.7168,22085.7168,0.9477,20033.0938,20033.0938,0.0010
2,1032776896.0000,353792.5625,9533.6143,0.1135,18514.0723,18514.0723,0.0010
3,44.8949,6090.6230,6090.5923,0.2252,17019.1875,17019.1875,0.0010
4,23.4391,4416.0049,4415.9814,0.4440,15942.9219,15942.9219,0.0010
5,31.2819,3736.1357,3736.0938,0.9969,15081.1094,15081.1084,0.0010
6,58.2764,3209.5764,3209.4788,2.8872,14547.6035,14547.5996,0.0010
7,98.8209,2894.6721,2894.4749,3.5566,13926.9502,13926.9434,0.0010
8,78.9779,2698.3384,2698.1543,3.3583,13208.6982,13208.6904,0.0010
9,66.9356,2491.0183,2490.8401,4.3951,12805.1709,12805.1592,0.0010
10,65.4029,2346.0928,2345.8967,6.0048,12218.2705,12218.2529,0.0010
11,85.8256,2252.1631,2251.8770,9.3680,11688.6963,11688.6660,0.0010
12,101.4808,2041.5269,2041.1547,9.8186,11523.2910,11523.2559,0.0010
13,107.9072,1975.2716,1974.8397,18.9185,11266.8906,11266.8145,0.0010
14,157.7550,1920.9363,1920.2528,20.4395,11027.9453,11027.8574,0.0010
15,135.5270,1798.8340,1798.2015,18.6107,11049.2305,11049.1445,0.0010
16,144.7361,1897.4578,1896.7344,24.8920,10733.3193,10733.1953,0.0010
17,148.7207,1823.3707,1822.5776,34.8440,10623.2520,10623.0664,0.0010
18,148.9379,1743.2976,1742.4536,37.7172,10632.0352,10631.8223,0.0010
19,173.6137,1706.9261,1705.8846,44.1533,10433.4834,10433.2188,0.0010
20,182.0582,1765.8594,1764.7063,41.8945,10290.0068,10289.7422,0.0010
21,190.2600,1759.4989,1758.2306,54.3917,10308.1025,10307.7402,0.0010
22,192.1078,1689.1090,1687.7642,52.4043,10188.7129,10188.3457,0.0010
23,180.1153,1730.5044,1729.1832,63.1612,9836.4004,9835.9375,0.0010
24,191.6836,1698.5671,1697.0975,51.8399,9900.1758,9899.7773,0.0010
25,200.7523,1622.3638,1620.7578,59.6222,9909.7949,9909.3184,0.0010
26,223.6465,1646.3351,1644.4714,61.9386,9660.6006,9660.0840,0.0010
27,219.1062,1546.0653,1544.1664,63.6408,9904.9502,9904.3984,0.0010
28,247.9463,1644.7183,1642.4868,72.0790,10100.9043,10100.2549,0.0010
29,217.6948,1499.4567,1497.4250,66.6409,10484.5537,10483.9316,0.0010
30,222.7550,1487.5764,1485.4230,68.8584,10422.7373,10422.0713,0.0010
31,223.0765,1739.2406,1737.0094,70.7904,10169.6055,10168.8975,0.0010
32,196.2554,1655.3864,1653.3585,57.0921,10400.5264,10399.9365,0.0010
