epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
1,1115055504111861905206804480.0000,21074.5176,21074.5176,84178.2031,6480.3115,6480.3115,0.0010
2,nan,nan,5916.1128,nan,nan,5177.4663,0.0010
3,nan,nan,2996.6960,nan,nan,5450.8916,0.0010
4,nan,nan,2786.3784,nan,nan,5842.2754,0.0010
5,nan,nan,2757.1650,nan,nan,5652.7900,0.0010
6,nan,nan,2749.0337,nan,nan,5993.4487,0.0010
7,nan,nan,2721.7996,nan,nan,5967.8384,0.0010
8,nan,nan,2750.8118,nan,nan,5306.9204,0.0010
9,nan,nan,2726.5051,nan,nan,4908.5576,0.0010
10,nan,nan,2699.6914,nan,nan,4823.9834,0.0010
11,nan,nan,2714.9597,nan,nan,4739.1313,0.0010
12,nan,nan,2732.7761,nan,nan,4385.2563,0.0010
13,nan,nan,2696.9075,nan,nan,4243.4062,0.0010
14,nan,nan,2716.6379,nan,nan,4173.8276,0.0010
15,nan,nan,2688.6501,nan,nan,4066.5078,0.0010
16,nan,nan,2711.1116,nan,nan,3536.8079,0.0010
17,nan,nan,2698.2920,nan,nan,3498.7173,0.0010
18,nan,nan,2735.9487,nan,nan,3651.2310,0.0010
19,nan,nan,2711.8945,nan,nan,3326.4194,0.0010
20,nan,nan,2698.5229,nan,nan,3483.1882,0.0010
21,nan,nan,2688.2988,nan,nan,3406.0320,0.0010
22,nan,nan,2679.8398,nan,nan,3240.2632,0.0010
23,nan,nan,2691.8960,nan,nan,3265.7573,0.0010
24,nan,nan,2690.3635,nan,nan,3397.2981,0.0010
25,nan,nan,2707.7473,nan,nan,3311.4927,0.0010
26,nan,nan,2671.6538,nan,nan,4158.2720,0.0010
27,nan,nan,2677.8503,nan,nan,3498.0845,0.0010
28,nan,nan,2727.1245,nan,nan,4440.9028,0.0010
29,nan,nan,2672.9397,nan,nan,3351.4558,0.0010
30,nan,nan,2697.0679,nan,nan,3071.5417,0.0010
31,nan,nan,2708.1958,nan,nan,3906.8816,0.0010
32,nan,nan,2688.1821,nan,nan,3237.1753,0.0010
33,nan,nan,2668.4031,nan,nan,3106.1206,0.0010
34,nan,nan,2666.7795,nan,nan,3019.9480,0.0010
35,nan,nan,2668.5107,nan,nan,3256.3784,0.0010
36,nan,nan,2686.3787,nan,nan,3324.2937,0.0010
37,nan,nan,2674.2148,nan,nan,3154.1396,0.0010
38,nan,nan,2672.0403,nan,nan,3361.9009,0.0010
39,nan,nan,2750.7837,nan,nan,3157.0222,0.0010
40,nan,nan,2677.8979,nan,nan,3072.7231,0.0010
41,nan,nan,2665.0356,nan,nan,3194.4041,0.0010
42,nan,nan,2669.4600,nan,nan,3752.2485,0.0010
43,nan,nan,2691.3745,nan,nan,3505.3892,0.0010
44,nan,nan,2685.7112,nan,nan,3222.0696,0.0010
45,nan,nan,2652.3411,nan,nan,3046.5540,0.0010
46,nan,nan,2644.4124,nan,nan,3188.0112,0.0010
47,nan,nan,2649.2100,nan,nan,3099.2505,0.0010
48,nan,nan,2682.8579,nan,nan,3756.1628,0.0010
49,nan,nan,2691.4050,nan,nan,3389.5981,0.0010
50,nan,nan,2669.6501,nan,nan,3614.2656,0.0010
51,nan,nan,2664.0439,nan,nan,3223.1284,0.0010
52,nan,nan,2661.1443,nan,nan,3135.5049,0.0010
53,nan,nan,2697.5789,nan,nan,3090.4551,0.0010
54,nan,nan,2709.6357,nan,nan,3027.6230,0.0010
55,nan,nan,2669.4561,nan,nan,3089.4878,0.0010
56,nan,nan,2669.0935,nan,nan,3099.9536,0.0010
57,nan,nan,2662.1846,nan,nan,2952.5366,0.0010
58,nan,nan,2640.9741,nan,nan,2949.0037,0.0010
59,nan,nan,2648.6401,nan,nan,3042.1853,0.0010
60,nan,nan,2647.3486,nan,nan,2951.5522,0.0010
61,nan,nan,2707.7761,nan,nan,3203.3240,0.0010
62,nan,nan,2682.0581,nan,nan,3514.6836,0.0010
63,nan,nan,2645.5613,nan,nan,3390.0364,0.0010
64,nan,nan,2657.0200,nan,nan,3259.8215,0.0010
65,nan,nan,2648.7737,nan,nan,3495.7976,0.0010
66,nan,nan,2648.0483,nan,nan,3515.8247,0.0010
67,nan,nan,2668.3496,nan,nan,3027.3633,0.0010
68,nan,nan,2707.8916,nan,nan,3367.7520,0.0010
69,nan,nan,2658.7795,nan,nan,3608.4722,0.0010
70,nan,nan,2657.4785,nan,nan,3519.9902,0.0010
71,nan,nan,2700.9851,nan,nan,3858.2930,0.0010
72,nan,nan,2686.8389,nan,nan,3414.6802,0.0010
73,nan,nan,2686.9329,nan,nan,3375.0200,0.0010
74,nan,nan,2662.6055,nan,nan,3492.8765,0.0010
75,nan,nan,2651.0007,nan,nan,3059.7043,0.0010
76,nan,nan,2712.8594,nan,nan,3013.4871,0.0010
77,nan,nan,2695.3074,nan,nan,2942.2930,0.0010
78,nan,nan,2681.9944,nan,nan,3063.7134,0.0010
79,nan,nan,2675.4612,nan,nan,2929.4407,0.0010
80,nan,nan,2647.4995,nan,nan,2915.8137,0.0010
81,nan,nan,2641.1553,nan,nan,2855.3877,0.0010
82,nan,nan,2634.6475,nan,nan,2823.6323,0.0010
83,nan,nan,2691.1670,nan,nan,2929.5193,0.0010
84,nan,nan,2694.4590,nan,nan,2913.7676,0.0010
85,nan,nan,2674.6338,nan,nan,2964.6487,0.0010
86,nan,nan,2670.6802,nan,nan,2985.4851,0.0010
87,nan,nan,2628.8975,nan,nan,2859.6482,0.0010
88,nan,nan,2683.9966,nan,nan,2919.3198,0.0010
89,nan,nan,2674.3379,nan,nan,2872.5024,0.0010
90,nan,nan,2648.0376,nan,nan,2846.7300,0.0010
91,nan,nan,2647.3462,nan,nan,2948.9087,0.0010
92,nan,nan,2653.4163,nan,nan,3318.8208,0.0010
93,nan,nan,2668.9490,nan,nan,3063.0881,0.0010
94,nan,nan,2645.5774,nan,nan,3115.8481,0.0010
95,nan,nan,2657.7502,nan,nan,2917.3325,0.0010
96,nan,nan,2643.9089,nan,nan,2890.2688,0.0010
97,nan,nan,2689.1426,nan,nan,2867.1089,0.0010
98,nan,nan,2723.5120,nan,nan,2984.2798,0.0010
99,nan,nan,2656.2666,nan,nan,2892.1440,0.0010
100,nan,nan,2642.5356,nan,nan,3018.3801,0.0010
101,nan,nan,2646.7588,nan,nan,2874.1411,0.0010
102,nan,nan,2651.8694,nan,nan,2910.8774,0.0010
103,nan,nan,2681.0437,nan,nan,2850.1450,0.0010
104,nan,nan,2689.3799,nan,nan,2938.9421,0.0010
105,nan,nan,2671.8960,nan,nan,2911.7334,0.0010
106,nan,nan,2648.7671,nan,nan,2990.6428,0.0010
107,nan,nan,2651.2493,nan,nan,2788.3921,0.0010
108,nan,nan,2669.0269,nan,nan,2881.2168,0.0010
109,nan,nan,2649.8540,nan,nan,2942.5396,0.0010
110,nan,nan,2650.5037,nan,nan,2859.1199,0.0010
111,nan,nan,2685.9814,nan,nan,2939.8762,0.0010
112,nan,nan,2694.0845,nan,nan,2988.0757,0.0010
113,nan,nan,2647.3079,nan,nan,2996.5474,0.0010
114,nan,nan,2640.3894,nan,nan,3014.0793,0.0010
115,nan,nan,2662.1719,nan,nan,2873.4526,0.0010
116,nan,nan,2641.4580,nan,nan,2901.9634,0.0010
117,nan,nan,2657.9609,nan,nan,2821.9739,0.0010
118,nan,nan,2650.3208,nan,nan,3030.5266,0.0010
119,nan,nan,2653.0186,nan,nan,2860.9778,0.0010
120,nan,nan,2671.4597,nan,nan,2962.2930,0.0010
121,nan,nan,2665.0786,nan,nan,2996.7698,0.0010
122,nan,nan,2651.6331,nan,nan,3047.1458,0.0010
123,nan,nan,2657.5920,nan,nan,3098.6943,0.0010
124,nan,nan,2663.5635,nan,nan,3004.3340,0.0010
125,nan,nan,2665.6799,nan,nan,2931.4399,0.0010
126,nan,nan,2657.8149,nan,nan,2916.0903,0.0010
127,nan,nan,2656.7830,nan,nan,2946.4084,0.0010
128,nan,nan,2671.1118,nan,nan,2949.6404,0.0010
129,nan,nan,2645.6475,nan,nan,2848.3918,0.0010
130,nan,nan,2651.7168,nan,nan,3215.3525,0.0010
131,nan,nan,2661.6604,nan,nan,3006.8074,0.0010
132,nan,nan,2645.2996,nan,nan,2815.2708,0.0010
133,nan,nan,2655.8853,nan,nan,3010.8823,0.0010
134,nan,nan,2665.0286,nan,nan,3135.7317,0.0010
135,nan,nan,2650.4094,nan,nan,2895.5024,0.0010
136,nan,nan,2683.1475,nan,nan,2793.5415,0.0010
137,nan,nan,2667.4688,nan,nan,2816.0200,0.0010
138,nan,nan,2662.4973,nan,nan,2865.0464,0.0010
139,nan,nan,2643.9451,nan,nan,2820.8970,0.0010
140,nan,nan,2664.3398,nan,nan,2857.9214,0.0010
141,nan,nan,2654.2292,nan,nan,2828.9644,0.0010
142,nan,nan,2656.6350,nan,nan,2925.9011,0.0010
143,nan,nan,2671.6562,nan,nan,2954.0522,0.0010
144,nan,nan,2659.0439,nan,nan,2847.8909,0.0010
145,nan,nan,2638.9658,nan,nan,2855.5090,0.0010
146,nan,nan,2658.2825,nan,nan,2817.0632,0.0010
147,nan,nan,2640.5576,nan,nan,2852.1462,0.0010
148,nan,nan,2653.2588,nan,nan,2818.5312,0.0007
149,nan,nan,2647.0630,nan,nan,2816.0845,0.0007
150,nan,nan,2651.9561,nan,nan,2869.5259,0.0007
151,nan,nan,2648.1963,nan,nan,2865.7649,0.0007
152,nan,nan,2643.0720,nan,nan,2832.0847,0.0007
153,nan,nan,2638.8621,nan,nan,2828.6379,0.0007
154,nan,nan,2657.2434,nan,nan,2906.4927,0.0007
155,nan,nan,2632.5986,nan,nan,2914.2036,0.0007
156,nan,nan,2690.8137,nan,nan,3163.0630,0.0007
157,nan,nan,2653.9067,nan,nan,3354.2969,0.0007
158,nan,nan,2647.8748,nan,nan,3590.3540,0.0007
159,nan,nan,2663.6360,nan,nan,3260.8064,0.0007
160,nan,nan,2640.8665,nan,nan,3676.5735,0.0007
161,nan,nan,2641.4089,nan,nan,3535.5991,0.0007
162,nan,nan,2648.4033,nan,nan,3799.9126,0.0007
163,nan,nan,2659.8386,nan,nan,3748.0464,0.0007
164,nan,nan,2649.5269,nan,nan,4057.1836,0.0007
165,nan,nan,2668.9402,nan,nan,3702.1140,0.0007
166,nan,nan,2673.6160,nan,nan,4422.4971,0.0007
167,nan,nan,2673.7971,nan,nan,6447.8115,0.0007
168,nan,nan,2646.2083,nan,nan,9849.1689,0.0007
169,nan,nan,2664.0625,nan,nan,8895.7559,0.0007
170,nan,nan,2661.0759,nan,nan,5983.0967,0.0007
171,nan,nan,2663.2334,nan,nan,8217.4121,0.0007
172,nan,nan,2656.8984,nan,nan,6664.9243,0.0007
173,nan,nan,2655.0771,nan,nan,6897.4639,0.0007
174,nan,nan,2641.6838,nan,nan,6652.1069,0.0007
175,nan,nan,2645.9060,nan,nan,9991.7139,0.0007
176,nan,nan,2655.4131,nan,nan,11497.9229,0.0007
177,nan,nan,2663.7134,nan,nan,9571.0107,0.0007
178,nan,nan,2643.3442,nan,nan,8047.5166,0.0007
179,nan,nan,2676.0061,nan,nan,3523.2507,0.0007
180,nan,nan,2638.5374,nan,nan,4238.3760,0.0007
181,nan,nan,2647.0610,nan,nan,3709.5984,0.0007
182,nan,nan,2638.9731,nan,nan,4839.9854,0.0007
183,nan,nan,2654.1914,nan,nan,6672.8174,0.0007
184,nan,nan,2644.5449,nan,nan,5548.1079,0.0007
185,nan,nan,2646.1638,nan,nan,4111.4829,0.0007
186,nan,nan,2648.8250,nan,nan,3965.4207,0.0007
187,nan,nan,2661.9561,nan,nan,3408.3491,0.0007
188,nan,nan,2652.5510,nan,nan,3572.4688,0.0005
189,nan,nan,2637.0657,nan,nan,3575.6035,0.0005
190,nan,nan,2642.4124,nan,nan,3625.1753,0.0005
191,nan,nan,2659.0920,nan,nan,3673.8394,0.0005
192,nan,nan,2641.8181,nan,nan,5177.5107,0.0005
193,nan,nan,2646.1130,nan,nan,6223.0210,0.0005
194,nan,nan,2646.5085,nan,nan,7743.9111,0.0005
195,nan,nan,2640.7485,nan,nan,11014.8496,0.0005
196,nan,nan,2634.7776,nan,nan,7172.7251,0.0005
197,nan,nan,2654.5769,nan,nan,4209.5674,0.0005
198,nan,nan,2640.9092,nan,nan,4387.4971,0.0005
199,nan,nan,2649.6680,nan,nan,6391.7329,0.0005
200,nan,nan,2657.7942,nan,nan,4305.3721,0.0005
201,nan,nan,2639.7830,nan,nan,4018.7593,0.0005
202,nan,nan,2650.4182,nan,nan,3965.2808,0.0005
203,nan,nan,2633.4917,nan,nan,4726.0615,0.0005
204,nan,nan,2640.4534,nan,nan,8379.1562,0.0005
205,nan,nan,2636.4382,nan,nan,4735.8892,0.0005
206,nan,nan,2643.2642,nan,nan,5660.9697,0.0005
207,nan,nan,2641.0027,nan,nan,6074.4551,0.0005
208,nan,nan,2639.7683,nan,nan,6405.4409,0.0005
209,nan,nan,2642.6162,nan,nan,7043.6499,0.0005
210,nan,nan,2647.2024,nan,nan,11728.5889,0.0005
211,nan,nan,2642.3643,nan,nan,9069.6387,0.0005
212,nan,nan,2639.8037,nan,nan,7333.7134,0.0005
213,nan,nan,2668.9990,nan,nan,5103.8774,0.0005
214,nan,nan,2642.8723,nan,nan,8722.7861,0.0005
215,nan,nan,2653.8972,nan,nan,9030.8838,0.0005
216,nan,nan,2638.9214,nan,nan,4906.4512,0.0005
217,nan,nan,2637.6680,nan,nan,5984.7588,0.0005
218,nan,nan,2635.5103,nan,nan,8613.0293,0.0005
219,nan,nan,2636.3115,nan,nan,7377.3032,0.0005
220,nan,nan,2640.5532,nan,nan,6556.0146,0.0005
221,nan,nan,2651.5200,nan,nan,5320.7095,0.0005
222,nan,nan,2644.3799,nan,nan,5509.6050,0.0005
223,nan,nan,2636.7673,nan,nan,7491.9678,0.0005
224,nan,nan,2637.4636,nan,nan,7346.3696,0.0005
225,nan,nan,2650.6794,nan,nan,8189.4756,0.0005
226,nan,nan,2648.2705,nan,nan,8171.4189,0.0005
227,nan,nan,2635.9194,nan,nan,6871.4961,0.0005
228,nan,nan,2638.6201,nan,nan,4861.4897,0.0003
229,nan,nan,2642.2139,nan,nan,4656.6133,0.0003
230,nan,nan,2635.1328,nan,nan,5112.1201,0.0003
231,nan,nan,2648.2964,nan,nan,4956.5493,0.0003
232,nan,nan,2641.9561,nan,nan,4331.8604,0.0003
233,nan,nan,2635.8162,nan,nan,4999.3198,0.0003
234,nan,nan,2633.8857,nan,nan,5317.7812,0.0003
235,nan,nan,2635.8584,nan,nan,5642.0166,0.0003
236,nan,nan,2638.3953,nan,nan,6799.8438,0.0003
237,nan,nan,2654.8535,nan,nan,4366.7798,0.0003
238,nan,nan,2649.2334,nan,nan,4077.5083,0.0003
239,nan,nan,2637.3010,nan,nan,3526.4773,0.0003
240,nan,nan,2642.5869,nan,nan,4155.0024,0.0003
