epoch,mean_loss,min_loss,max_loss,mean_val_loss,min_val_loss,max_val_loss,mean_recon,min_recon,max_recon,mean_val_recon,min_val_recon,max_val_recon,mean_kl,min_kl,max_kl,mean_val_kl,min_val_kl,max_val_kl
1,22276.0703,19923.3945,26020.6523,12638.313474999999,6480.3115,20033.0938,22276.0703,19923.3945,26020.6523,12638.313474999999,6480.3115,20033.0938,2.7876387602796548e+26,366.2539,1.1150555041118619e+27,21046.324275000003,0.9477,84178.2031
2,nan,nan,nan,nan,nan,nan,7395.565075,4816.4062,9533.6143,11212.69555,5177.4663,18514.0723,nan,nan,nan,nan,nan,nan
3,nan,nan,nan,nan,nan,nan,4302.617975,2541.3804,6090.5923,10436.763299999999,5450.8916,17019.1875,nan,nan,nan,nan,nan,nan
4,nan,nan,nan,nan,nan,nan,3382.4443250000004,1864.8623,4462.5552,9937.693975,5759.2856,15942.9219,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,2958.3566,1576.5084,3763.6592,9395.213749999999,5285.7642,15081.1084,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,2656.491175,1442.1819,3225.2703,9119.017675,4803.1992,14547.5996,nan,nan,nan,nan,nan,nan
7,nan,nan,nan,nan,nan,nan,2472.9646749999997,1356.3357,2919.2485,8631.99085,4303.4795,13926.9434,nan,nan,nan,nan,nan,nan
8,nan,nan,nan,nan,nan,nan,2428.001925,1319.4137,2943.6279,8041.444024999999,4076.3235,13208.6904,nan,nan,nan,nan,nan,nan
9,nan,nan,nan,nan,nan,nan,2284.103875,1219.8401,2726.5051,7485.162425,3711.3958,12805.1592,nan,nan,nan,nan,nan,nan
10,nan,nan,nan,nan,nan,nan,2202.90975,1137.5231,2699.6914,7207.25585,3766.1377,12218.2529,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,2188.5179,1065.7708,2721.4641,6757.832925,3417.9631,11688.666,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,2123.7571,1043.3542,2732.7761,6507.764225000001,3057.199,11523.2559,nan,nan,nan,nan,nan,nan
13,nan,nan,nan,nan,nan,nan,2071.83155,1002.9689,2696.9075,6148.951650000001,2845.6816,11266.8145,nan,nan,nan,nan,nan,nan
14,nan,nan,nan,nan,nan,nan,2050.640975,969.3426,2716.6379,5941.893975,2560.8059,11027.8574,nan,nan,nan,nan,nan,nan
15,nan,nan,nan,nan,nan,nan,1988.5119,937.6442,2688.6501,5657.435475,2322.3943,11049.1445,nan,nan,nan,nan,nan,nan
16,nan,nan,nan,nan,nan,nan,1941.7691750000001,912.5815,2711.1116,5567.4229749999995,2239.8337,10733.1953,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,1950.9872500000001,901.8089,2698.292,5271.83935,2083.561,10623.0664,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,1907.8600000000001,885.7928,2735.9487,5148.21425,2003.9482,10631.8223,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan,1854.8476249999999,853.2354,2711.8945,4995.279975,2073.8831,10433.2188,nan,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan,nan,1831.6997999999999,815.5004,2698.5229,4827.0851,1971.3158,10289.7422,nan,nan,nan,nan,nan,nan
21,nan,nan,nan,nan,nan,nan,1850.3230250000001,804.9512,2688.2988,5013.05015,1853.2897,10307.7402,nan,nan,nan,nan,nan,nan
22,nan,nan,nan,nan,nan,nan,1803.3786499999999,809.4094,2679.8398,4661.5665,1667.2208,10188.3457,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,1806.5506249999999,821.6393,2691.896,4461.34335,1715.4164,9835.9375,nan,nan,nan,nan,nan,nan
