source,original_file,segment,start_sample,end_sample,duration_sec,output_file
XENO,MagpieRecord_1072736,1,71858,89934,0.82,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_1072736_seg001.wav
XENO,MagpieRecord_187499,1,167090,203264,1.641,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_187499_seg001.wav
XENO,MagpieRecord_200412,1,42418,104014,2.793,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_200412_seg001.wav
XENO,MagpieRecord_200412,2,164274,191566,1.238,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_200412_seg002.wav
XENO,MagpieRecord_244305,1,8882,28494,0.889,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_244305_seg001.wav
XENO,MagpieRecord_244305,2,53426,82510,1.319,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_244305_seg002.wav
XENO,MagpieRecord_244305,3,105138,125774,0.936,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_244305_seg003.wav
XENO,MagpieRecord_244305,4,263858,291150,1.238,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_244305_seg004.wav
XENO,MagpieRecord_293109,1,81074,115022,1.54,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_293109_seg001.wav
XENO,MagpieRecord_293109,2,128946,152398,1.064,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_293109_seg002.wav
XENO,MagpieRecord_293109,3,249266,271694,1.017,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_293109_seg003.wav
XENO,MagpieRecord_293109,4,478130,518734,1.841,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_293109_seg004.wav
XENO,MagpieRecord_327864,1,79794,105550,1.168,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_327864_seg001.wav
XENO,MagpieRecord_327864,2,242866,261710,0.855,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_327864_seg002.wav
XENO,MagpieRecord_335533,1,332978,366414,1.516,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_335533_seg001.wav
XENO,MagpieRecord_365138,1,247218,279118,1.447,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg001.wav
XENO,MagpieRecord_365138,2,356530,388174,1.435,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg002.wav
XENO,MagpieRecord_365138,3,427698,449870,1.006,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg003.wav
XENO,MagpieRecord_365138,4,472498,512590,1.818,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg004.wav
XENO,MagpieRecord_365138,5,571314,595278,1.087,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg005.wav
XENO,MagpieRecord_365138,6,655538,681550,1.18,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg006.wav
XENO,MagpieRecord_365138,7,854194,886862,1.482,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg007.wav
XENO,MagpieRecord_365138,8,1700274,1739086,1.76,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg008.wav
XENO,MagpieRecord_365138,9,1759154,1778254,0.866,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg009.wav
XENO,MagpieRecord_365138,10,1828786,1848654,0.901,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg010.wav
