source,habitat,voc_type,input_path,output_npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_1072736_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_1072736_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_187499_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_187499_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_200412_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_200412_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_200412_seg002.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_200412_seg002.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_244305_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_244305_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_244305_seg002.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_244305_seg002.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_244305_seg003.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_244305_seg003.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_244305_seg004.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_244305_seg004.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_293109_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_293109_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_293109_seg002.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_293109_seg002.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_293109_seg003.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_293109_seg003.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_293109_seg004.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_293109_seg004.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_327864_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_327864_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_327864_seg002.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_327864_seg002.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_335533_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_335533_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg002.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg002.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg003.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg003.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg004.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg004.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg005.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg005.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg006.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg006.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg007.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg007.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg008.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg008.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg009.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg009.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg010.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg010.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_365138_seg011.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_365138_seg011.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_689343_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_689343_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_692695_seg001.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_692695_seg001.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_692695_seg002.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_692695_seg002.npy
XENO,rural,call,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\SegmentedData\rural\call\MagpieRecord_692695_seg003.wav,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\Spectrograms\rural\call\MagpieRecord_692695_seg003.npy
