id,grade,type_raw,voc_class,habitat,habitat_basis,lat,lng,loc,country,length,recordist,saved_path
1086678,A,"call, song",song,rural,nearest Warialda@54km,-29.1477,150.9934,"Kwiambal National Park, New South Wales",Australia,0:28,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_1086678.mp3
1085646,A,song,song,rural,nearest Lower King@25km,-34.8396,118.1756,"Manypeaks, Western Australia",Australia,0:06,Marcin Przymencki,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_1085646.mp3
1073083,A,"song, traffic",song,urban,Melbourne@8km,-37.7417,144.9628,"Coburg, Victoria",Australia,0:30,Nick Talbot,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_1073083.mp3
1072736,A,"call, wing beats",call,rural,nearest Foster@44km,-39.0329,146.323,"Wilderness Retreats at Wilsons Promontory National Park (near  Tidal River), South Gippsland Shire, Victoria",Australia,0:09,Romuald Mikusek,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\call\MagpieRecord_1072736.mp3
1069711,A,"song, chorus",song,urban,Queanbeyan@8km,-35.4194,149.2558,"Googong, Queanbeyan-Palerang Regional Council, New South Wales",Australia,0:46,Étienne Leroy,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_1069711.mp3
1062641,A,call,call,urban,Crib Point@8km,-38.3831,145.2957,"French Island, Victoria",Australia,0:07,Romuald Mikusek,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\call\MagpieRecord_1062641.mp3
1054235,A,song,song,rural,nearest Mallacoota@1938km,-41.6772,171.797,"Birchfield, Buller District, West Coast Region",New Zealand,0:15,craig wilson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_1054235.mp3
1045893,A,song,song,urban,Kandos@20km,-33.0226,150.0369,"Capertee National Park, NSW",Australia,2:59,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_1045893.mp3
1045892,A,song,song,rural,nearest Hillston@91km,-32.6712,145.6917,"Yathong Nature Reserve, Eastern Boundary, New South Wales",Australia,1:43,Marc Anderson,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\rural\song\MagpieRecord_1045892.mp3
1041382,A,"call, song",song,urban,Canberra@6km,-35.3259,149.07,"Curtin, Australian Capital Territory",Australia,0:41,Zebedee Muller,C:\Users\Brian Leap\Documents\Brian\Projects CS\AvianAura\XenoCantoDataV3\urban\song\MagpieRecord_1041382.mp3
